Open,High,Low,Weekday,Close
2.0277,2.0362,2.0244,Wednesday,2.0323
1.7639,1.775,1.7594,Thursday,1.7738
1.3345,1.3396,1.3299,Monday,1.3364
1.6231,1.6304,1.6154,Thursday,1.6269
2.0103,2.014,1.9994,Tuesday,1.9994
1.619,1.6198,1.6123,Tuesday,1.6152
1.883,1.8866,1.8759,Tuesday,1.882
1.9677,1.9677,1.9515,Tuesday,1.9536
1.5797,1.5875,1.5774,Thursday,1.5855
1.6179,1.6199,1.6141,Friday,1.6144
1.5471,1.5483,1.5178,Wednesday,1.5323
1.2402,1.2411,1.225,Wednesday,1.2263
1.9611,1.9624,1.952,Tuesday,1.9528
1.4477,1.4608,1.4175,Wednesday,1.4204
1.4885,1.4908,1.4803,Tuesday,1.4826
1.5251,1.5275,1.5106,Tuesday,1.5139
1.2619,1.264,1.2577,Tuesday,1.2617
1.8423,1.8486,1.8372,Thursday,1.8415
1.5348,1.5491,1.5332,Wednesday,1.5451
1.9696,1.9779,1.9687,Friday,1.9759
1.7639,1.7724,1.7623,Monday,1.7652
1.8516,1.8637,1.8474,Thursday,1.8492
1.2054,1.2107,1.2008,Friday,1.2093
1.8112,1.8149,1.7875,Thursday,1.7899
1.2485,1.2514,1.2383,Tuesday,1.2424
1.3114,1.3166,1.3084,Thursday,1.3144
1.5901,1.5915,1.5862,Monday,1.5875
1.865,1.8705,1.8604,Monday,1.8646
1.8516,1.8614,1.8466,Friday,1.8559
1.2993,1.3028,1.2966,Wednesday,1.3012
1.2416,1.2526,1.2387,Tuesday,1.249
1.9271,1.9289,1.9012,Friday,1.9161
1.6001,1.602,1.5965,Monday,1.5987
1.5423,1.5587,1.5344,Tuesday,1.5531
1.9885,1.9951,1.9805,Friday,1.9948
1.467,1.4682,1.4617,Friday,1.467
1.2224,1.2266,1.2047,Friday,1.2053
1.2412,1.2431,1.2259,Friday,1.2283
1.3983,1.4027,1.3915,Tuesday,1.4001
1.2964,1.3,1.286,Tuesday,1.2895
1.2448,1.2502,1.2409,Wednesday,1.2441
1.5103,1.52,1.5056,Tuesday,1.5149
1.6661,1.6673,1.6618,Tuesday,1.663
1.3018,1.3058,1.2951,Thursday,1.2971
1.2865,1.2911,1.2829,Monday,1.2896
1.2921,1.2985,1.2898,Friday,1.2985
1.5781,1.5837,1.573,Friday,1.5816
