iter	Passed	Remaining
0	32	3202
1	42	2097
2	59	1920
3	77	1865
4	90	1710
5	103	1623
6	118	1570
7	138	1597
8	156	1578
9	170	1531
10	175	1422
11	197	1451
12	214	1433
13	229	1411
14	240	1361
15	263	1384
16	278	1357
17	296	1348
18	315	1346
19	330	1320
20	345	1300
21	368	1305
22	383	1282
23	399	1263
24	403	1211
25	422	1202
26	446	1208
27	462	1188
28	475	1164
29	497	1159
30	516	1149
31	530	1126
32	533	1082
33	556	1079
34	579	1075
35	593	1054
36	608	1036
37	618	1009
38	635	994
39	648	973
40	663	955
41	685	946
42	703	931
43	717	913
44	731	893
45	748	879
46	771	870
47	788	854
48	806	839
49	825	825
50	844	811
51	865	799
52	879	780
53	896	763
54	913	747
55	934	734
56	951	717
57	965	699
58	983	683
59	1002	668
60	1016	650
61	1031	632
62	1045	613
63	1069	601
64	1084	583
65	1099	566
66	1120	551
67	1134	533
68	1149	516
69	1165	499
70	1187	485
71	1202	467
72	1216	449
73	1248	438
74	1264	421
75	1281	404
76	1301	388
77	1316	371
78	1332	354
79	1356	339
80	1370	321
81	1385	304
82	1401	287
83	1419	270
84	1439	254
85	1453	236
86	1473	220
87	1494	203
88	1510	186
89	1526	169
90	1542	152
91	1544	134
92	1564	117
93	1579	100
94	1598	84
95	1615	67
96	1629	50
97	1643	33
98	1663	16
99	1685	0
