date,Open,High,Low,Weekday,Close
2023-09-25,1.2241,1.225,1.2212,Monday,1.2234
2023-09-22,1.2292,1.2294,1.223,Friday,1.2239
2023-09-21,1.2345,1.2345,1.2232,Thursday,1.2291
2023-09-20,1.2391,1.2421,1.2332,Wednesday,1.2342
2023-09-19,1.2384,1.2425,1.237,Tuesday,1.2392
2023-09-18,1.2383,1.241,1.237,Monday,1.2385
2023-09-15,1.2407,1.2446,1.2378,Friday,1.2381
2023-09-14,1.2489,1.2506,1.2396,Thursday,1.2408
2023-09-13,1.2488,1.2512,1.2434,Wednesday,1.249
2023-09-12,1.2511,1.253,1.2459,Tuesday,1.2488
2023-09-11,1.2475,1.2548,1.2468,Monday,1.251
2023-09-08,1.247,1.2514,1.2451,Friday,1.2465
2023-09-07,1.2501,1.2508,1.2446,Thursday,1.2471
2023-09-06,1.2565,1.2588,1.2482,Wednesday,1.25
2023-09-05,1.2627,1.2632,1.2528,Tuesday,1.2565
2023-09-04,1.2588,1.2642,1.2586,Monday,1.2626
2023-09-01,1.2671,1.2713,1.2577,Friday,1.2586
2023-08-31,1.2719,1.2734,1.2652,Thursday,1.2671
2023-08-30,1.2645,1.2746,1.2618,Wednesday,1.2718
2023-08-29,1.26,1.2655,1.2562,Tuesday,1.2643
2023-08-28,1.258,1.2611,1.2565,Monday,1.26
2023-08-25,1.2604,1.2654,1.2547,Friday,1.2575
2023-08-24,1.2718,1.2729,1.2591,Thursday,1.2604
2023-08-23,1.2729,1.2765,1.2614,Wednesday,1.2717
2023-08-22,1.2756,1.28,1.2718,Tuesday,1.2729
2023-08-21,1.2731,1.2767,1.271,Monday,1.2755
2023-08-18,1.2745,1.2766,1.2689,Friday,1.273
2023-08-17,1.2731,1.2787,1.2702,Thursday,1.2746
2023-08-16,1.27,1.2766,1.2687,Wednesday,1.2731
2023-08-15,1.2683,1.2752,1.2675,Tuesday,1.27
2023-08-14,1.2696,1.2715,1.2616,Monday,1.2683
2023-08-11,1.2675,1.2738,1.2666,Friday,1.2694
2023-08-10,1.2718,1.2819,1.2669,Thursday,1.2675
2023-08-09,1.2742,1.2782,1.2712,Wednesday,1.2717
2023-08-08,1.2781,1.2785,1.2684,Tuesday,1.2743
2023-08-07,1.2744,1.2789,1.2713,Monday,1.278
2023-08-04,1.2709,1.2792,1.2683,Friday,1.2745
2023-08-03,1.2711,1.2728,1.262,Thursday,1.2708
2023-08-02,1.2789,1.2805,1.268,Wednesday,1.2711
2023-08-01,1.2837,1.2841,1.2741,Tuesday,1.2787
2023-07-31,1.2852,1.2873,1.2828,Monday,1.2835
2023-07-28,1.2796,1.2888,1.2763,Friday,1.2844
2023-07-27,1.2943,1.2996,1.2782,Thursday,1.2795
2023-07-26,1.2901,1.296,1.2875,Wednesday,1.2943
2023-07-25,1.2824,1.2905,1.2809,Tuesday,1.29
2023-07-24,1.2851,1.2884,1.2797,Monday,1.2824
2023-07-21,1.2868,1.2904,1.2816,Friday,1.2853
2023-07-20,1.2937,1.2964,1.2839,Thursday,1.2866
2023-07-19,1.3036,1.3041,1.2867,Wednesday,1.2936
2023-07-18,1.3073,1.3126,1.3028,Tuesday,1.3036
2023-07-17,1.3091,1.3109,1.3051,Monday,1.3072
2023-07-14,1.3131,1.3142,1.3088,Friday,1.3089
2023-07-13,1.2987,1.3141,1.2983,Thursday,1.3131
2023-07-12,1.2928,1.3,1.2904,Wednesday,1.2986
2023-07-11,1.2858,1.2935,1.2854,Tuesday,1.2929
2023-07-10,1.2831,1.2868,1.275,Monday,1.2858
2023-07-07,1.2737,1.2849,1.2726,Friday,1.2836
2023-07-06,1.2702,1.2781,1.2673,Thursday,1.2738
2023-07-05,1.2711,1.2735,1.2688,Wednesday,1.2702
2023-07-04,1.2689,1.2739,1.2683,Tuesday,1.2711
2023-07-03,1.2692,1.2723,1.2658,Monday,1.2689
2023-06-30,1.261,1.2727,1.2599,Friday,1.2693
2023-06-29,1.2637,1.2667,1.2591,Thursday,1.2609
2023-06-28,1.2747,1.2752,1.2606,Wednesday,1.2635
2023-06-27,1.2709,1.2759,1.2703,Tuesday,1.2747
2023-06-26,1.2713,1.2748,1.2688,Monday,1.271
2023-06-23,1.2743,1.2749,1.2685,Friday,1.2712
2023-06-22,1.2768,1.2839,1.2725,Thursday,1.2743
2023-06-21,1.2763,1.2802,1.2691,Wednesday,1.2766
2023-06-20,1.2795,1.2807,1.2713,Tuesday,1.2763
2023-06-19,1.2826,1.2837,1.277,Monday,1.2794
2023-06-16,1.278,1.2848,1.2768,Friday,1.2819
2023-06-15,1.2661,1.2786,1.2629,Thursday,1.2781
2023-06-14,1.2611,1.2699,1.26,Wednesday,1.2661
2023-06-13,1.2511,1.2625,1.2509,Tuesday,1.261
2023-06-12,1.258,1.2599,1.2487,Monday,1.251
2023-06-09,1.2557,1.259,1.2533,Friday,1.2575
2023-06-08,1.2438,1.2561,1.2436,Thursday,1.2559
2023-06-07,1.2418,1.25,1.2394,Wednesday,1.2438
2023-06-06,1.2431,1.2459,1.239,Tuesday,1.2417
2023-06-05,1.2445,1.245,1.2367,Monday,1.2432
2023-06-02,1.2522,1.2544,1.244,Friday,1.2447
2023-06-01,1.2438,1.254,1.24,Thursday,1.2523
2023-05-31,1.2412,1.2444,1.2347,Wednesday,1.2438
2023-05-30,1.2354,1.2446,1.2326,Tuesday,1.2412
2023-05-29,1.2347,1.2372,1.2334,Monday,1.2355
2023-05-26,1.2321,1.2395,1.231,Friday,1.2344
2023-05-25,1.2366,1.2387,1.2308,Thursday,1.2319
2023-05-24,1.2413,1.247,1.2357,Wednesday,1.2364
2023-05-23,1.2433,1.2447,1.2372,Tuesday,1.2415
2023-05-22,1.2445,1.2472,1.2413,Monday,1.2433
2023-05-19,1.2403,1.2484,1.2391,Friday,1.2444
2023-05-18,1.2488,1.2493,1.239,Thursday,1.2404
2023-05-17,1.2482,1.251,1.2421,Wednesday,1.2488
2023-05-16,1.2527,1.2546,1.2465,Tuesday,1.2482
2023-05-15,1.2449,1.2535,1.2441,Monday,1.2528
2023-05-12,1.251,1.2541,1.2443,Friday,1.2447
2023-05-11,1.2622,1.2641,1.2495,Thursday,1.2511
2023-05-10,1.2617,1.268,1.2601,Wednesday,1.2621
2023-05-09,1.2619,1.264,1.2577,Tuesday,1.2617
2023-05-08,1.2629,1.2669,1.2613,Monday,1.2618
2023-05-05,1.2571,1.2652,1.2558,Friday,1.263
2023-05-04,1.2564,1.2599,1.2548,Thursday,1.2571
2023-05-03,1.2468,1.259,1.2466,Wednesday,1.2566
2023-05-02,1.2493,1.2512,1.2435,Tuesday,1.2469
2023-05-01,1.2566,1.2569,1.248,Monday,1.2493
2023-04-28,1.2493,1.2584,1.2446,Friday,1.2561
2023-04-27,1.2466,1.25,1.2435,Thursday,1.2493
2023-04-26,1.2408,1.2515,1.2401,Wednesday,1.2467
2023-04-25,1.2484,1.2507,1.2386,Tuesday,1.2409
2023-04-24,1.2436,1.2486,1.241,Monday,1.2484
2023-04-21,1.244,1.2448,1.2366,Friday,1.2437
2023-04-20,1.2435,1.2468,1.2404,Thursday,1.2439
2023-04-19,1.2425,1.2474,1.2391,Wednesday,1.2435
2023-04-18,1.2378,1.245,1.2367,Tuesday,1.2425
2023-04-17,1.2415,1.2438,1.2352,Monday,1.2377
2023-04-14,1.2523,1.2546,1.2398,Friday,1.2413
2023-04-13,1.2484,1.2537,1.2477,Thursday,1.2524
2023-04-12,1.2424,1.2495,1.2397,Wednesday,1.2484
2023-04-11,1.2378,1.2456,1.2377,Tuesday,1.2426
2023-04-10,1.2418,1.2442,1.2344,Monday,1.2383
2023-04-07,1.2441,1.2456,1.2389,Friday,1.2416
2023-04-06,1.2458,1.2487,1.2412,Thursday,1.2437
2023-04-05,1.2501,1.2514,1.2432,Wednesday,1.2461
2023-04-04,1.2414,1.2525,1.2394,Tuesday,1.2501
2023-04-03,1.2326,1.2423,1.2273,Monday,1.2416
2023-03-31,1.2386,1.2423,1.2323,Friday,1.2333
2023-03-30,1.2314,1.2393,1.2292,Thursday,1.2387
2023-03-29,1.2337,1.2362,1.2301,Wednesday,1.2314
2023-03-28,1.2281,1.2349,1.2279,Tuesday,1.2335
2023-03-27,1.2233,1.2293,1.2217,Monday,1.2283
2023-03-24,1.2286,1.2292,1.2189,Friday,1.223
2023-03-23,1.2267,1.2344,1.226,Thursday,1.2287
2023-03-22,1.2215,1.2335,1.2207,Wednesday,1.2268
